ID,User,Time,Rating,Comment,IDRestaurant
29960,Loan Vỏ,28-02-2024 18:22,10,Do an ngon gia rẻ. Minh rất thích quan nay.se la khách hang than.,1623
29961,tranthiet854ta,21-01-2024 12:05,10,Heo quay rất ngon...da giòn...cân đủ...giao hàng rất nhanh...hài lòng với món ăn của shop..nhân viên giao hàng rất chuyên nghiệp...giá phải chăng... Thích: Heo quay miếng,1623
29962,Ẩn Danh,17-01-2024 21:20,10,"Giao hàng nhanh, đóng gói cẩn thận thịt nướng ngon da giòn, dưa bị cũ mong shop để ý hơn Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng Thích: Heo quay miếng",1623
29963,baotran.74,6/1/2024 1:31,10,"Hình ảnh mang tính chất nhận xu Đồ ăn ở đây ngon, áp được mã giảm nhiều lắm Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng",1623
29964,K Vương Khang,31-12-2023 05:26,2,ít thịt toanf mỡ với da thôi,1623
29965,foodee_v0iwxt5i,12/12/2023 19:21,1,"Heo quay tệ nha, ko giông heo quay, giống kiểu thịt luộc xong chiên lên. Rất khô.",1623
29966,ynnhiphanth265,28-11-2023 15:21,10,Quán làm nước chấm rất vừa miệng! Tuy nhiên thịt quay hơi nhiều mỡ mình lại thích ăn thịt nạt - hình ảnh chỉ mang tính chất nhận xu Đóng gói tốt Giá phải chăng Soap Flower Price From 65.000D,1623
29967,truongkieu1993,15-11-2023 13:56,8,"Trên app đặt là lon mà khi giao là chai nhựa là sao vậy quán,nếu không có CoCa lon thì quán để hình chai nhựa để người ta còn biết,",1623
29968,Anh Dep Trai,14-10-2023 11:57,1,"Quá thất vọng, lần đầu ăn thấy ngon lần sau toàn book lại cho toàn hành vs thịt cũ. thịt có da đc mấy miếng",1623
29969,foodee_sew50qt2,25-09-2023 23:35,6,Ko ngon :))) Thịt ăn tạm thôi k hấp dẫn còn Heo quay bị khô mỡ nhiều nữa,1623
29970,foodee_51yipfj4,19-09-2023 20:37,10,Shop làm đồ nhanh . Vịt ăn cũng tạm được . Nước chấm hơi mặn quá .,1623
29971,Kiimhongg,13-09-2023 20:25,10,Ngonnnnnnnnnnnngfkdajkjfdjbdgkfdukbsegllnvswgg gghryu Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng,1623
29972,Thịnh Quang,28-08-2023 01:24,1,"Thịt quay rất khô, mình ăn được mấy miếng là lại phải húp miếng nước, da cứng kinh khủng, ăn cả hộp mới có một miếng giòn mềm duy nhất, nước tương đã ở có mùi *** như để lâu, dưa leo ăn kèm không hiểu là dính lớp dầu gì ở ngoài mà rửa mãi vẫn nhớ nhớt tay. Mong quán sẽ thay đổi cách chế biến thức ăn và cách đóng gói Không vệ sinh/an toàn",1623
29973,Ẩn Danh,14-08-2023 12:46,8,Thịt ngon nha mọi người! Nên thử nha. Theo khẩu vị của mình thì quan nên nêm đậm vị xíu. (Hình ảnh chỉ mang tính chất nhận xu),1623
29974,Ẩn Danh,5/8/2023 9:49,10,Mua vịt quay về nấu phở vịt. Nước chấm đi kèm nấu lên làm nước dùng. Hời ơi quá là ngon lun Ngon xỉu! Thích: Vịt quay mật ong nửa con,1623
29975,anhthuxd123,23-07-2023 16:07,10,đồ ăn ngon nha mọi người gà khá chất lượng luôn ạ mọi ng nên đặt thử nha,1623
29976,Thuỳ Trang,19-07-2023 15:28,8,Hơi mặn,1623
29977,tuongcung,15-07-2023 12:39,10,"Shop rất nhiệt tình, giao hàng thì nhanh, sẽ ủng hộ shop trong thời gian sắp tới cho shop năm sao Top Mo Chi Hay",1623
29978,Ẩn Danh,3/6/2023 21:02,10,mình tưởng 40.000 thì sẽ ít lắm chứ ngoài ra cũng được một hộp như vậy là quá ổn áp cảm ơn shop sẽ ủng hộ lần sau on Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng,1623
29979,foodee_xcml346x,17-04-2023 14:14,8,Vịt quay 10đ nhưng vịt k nóng vịt còn 7đ,1623
29980,Ẩn Danh,13-04-2023 11:11,10,"nay vịt quay có kèm hành ngon lắm ạ. Mấy lần trc em đặt ko có hành, mong quán duy trì lần sau có hành nữa ạ Ngon xỉu! No căng bụng Thích: Vịt quay mật ong nửa con Heo quay miếng Lưỡii vit sabo",1623
29981,Phạm Hoàng Nam,5/3/2023 11:31,8,Nướng ngũ vị nhưng rất giống nướng muối ớt mà muối ớt cũng ko ngon. Mqkqoq uksi qmai ndis qkqo dmxk qkwo sksi Không hợp khẩu vị Thích: Bánh mì,1623
29982,Thủy Tyna,28-02-2023 20:01,1,thit quay dở ưua cung ngat da thi mem xèo ko ngon j het,1623
29983,Huệ Hoàng,19-02-2023 15:20,8,"ăn cũng được, hơi có mùi vịt nhẹ. nước chấm hơi lạt. Cứu đói thì ok",1623
29984,Phạm Hoàng Nam,19-02-2023 11:57,8,Muối ớt không ngon nên gà nướng muối ớt cũng ko ngon. Qoan kakqoq ksid ukqo snsi ukso dndid ekso dkdi emwi ksidną sksi Không hợp khẩu vị,1623
29985,Nhân,9/2/2023 18:31,6,"Không giống hình, thịt quay nhiều nạc, ít da, rất ít da giòn nên ăn không đã lắm, không có dưa cải ăn kèm Không giống hình",1623
29986,Hỷ Nhi,25-01-2023 12:41,10,"Ngon nha đã đặc nhiều lần., sẽ mua lại .. mn nên đặc nha ....nhiệt tình *** ớt nữa Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng",1623
29987,Ẩn Danh,8/1/2023 17:02,6,Dặn shop ít mỡ chút mà mở hộp toàn mỡ ,1623
29988,Katerina Lee,2/1/2023 21:02,8,Không dặn kỹ quán đưa mỡ nhiều quá!,1623
29989,Vi Mai,29-12-2022 19:08,2,"Thiếu đồ ăn, gọi bị thuê bao không liên lạc được",1623
29990,mmjipv815_,27-12-2022 08:07,10,Gà ngon ăn ghiền nha Ngon xỉu! Đóng gói tốt Giá phải chăng No căng bụng,1623
29991,nguyenlinh15101999,25-12-2022 10:55,10,"giao hàng nhanh, shiper nhiệt tình, bảo quản cẩn thận, đồ ăn ổn",1623
29992,Kim Nguyên,16-12-2022 12:43,1,"Món ăn ở đây siêu tệ, vịt quay chưa thấm, thịt vịt như luộc chứ ko phải quay, có chỗ thì cháy đen, khác xa trên hình. Đặt 500gram mà quán ship 1 lạng, tuy quán hỗ trợ trả tiền lại rồi nhưng vẫn thấy không ngon. Không thấm vị và da heo thì ít. Trải nghiệm rất tệ. Không giống hình Sai/Thiếu món Không hợp khẩu vị Khẩu phần ít",1623
29993,Diễm Sương,28-11-2022 17:55,6,ko nước chấm,1623
29994,Thư thư 1703@,27-11-2022 11:47,8,Hình ảnh mang tính chất lấy xu,1623
29995,chqmk9fzam,13-11-2022 18:05,10,10 Đóng gói tốt Thích: Bánh mì Heo quay miếng,1623
29996,pham hoang oanh,11/11/2022 20:43,10,"Mọi thứ đều ok. Chúc mn cuối tuần vui vẻ và ngủ ngon nhé. Sẽ đặt lại nữa. Lần này đặt ok nhất. câu thần chú là: nhiều da, ít mỡ, thịt ko cháy. Xin cám ơn. Chỉ có điều hơi nguội. Tự làm thêm nước tương tỏi ớt chanh đường nữa. Đúng ngon luôn Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng",1623
29997,Thư thư 1703@,6/11/2022 20:25,10,Không đủ 500g . Cân thíu . Nhờ quán hăm nóng lại nhưng quán kh năm,1623
29998,thunguyen293,30-10-2022 13:10,10,Ngon Ngon xỉu! No căng bụng Đóng gói tốt Giá phải chăng,1623
29999,Ẩn Danh,14-10-2022 17:36,8,"Gà cay này cũng tạm, kh cay lắm, gà nướng kh khô. Nhưng là gà nướng sẵn xong hâm lại nên chỉ ấm ấm. Sẽ thử các món khác của tiệm. Thích: Coca cola",1623
