IDRestaurant,Comment_new,rating_encoded
1,chiên sống,1
1,ngon,1
1,thừa,0
1,kêu đói háo_hức thành khóc ròng khóc ròng khóc sống toàn_tập không_nổi_tức tức,1
1,tặng uống,2
1,thề lắm tức_giận mừng háo_hức khô chú_ý minion báo hủy giùm bấm không_bị ảnh_hưởng vận_hành kệ kệ không xứng_đáng,0
1,thử hơi kén không_ngon_miệng dập tắt nghiện cười thành,2
1,kết_hợp không_thấy không_cung_cấp,0
1,dở ăn_tây tây ngon,1
1,cười,0
1,khó_chịu mặt không_ăn dặn đành nhăn_nhó,1
1,ghé đakao hướng through không_hỏi đứng lên_tiếng không_lên_tiếng không_mà lặng rời đi không_đặt_hàng nghỉ không_đặt_hàng nhà_hàng cử trực drive xuyên khô không thái_độ trực,0
1,bảo kiểm_trà,0
1,đi kẹp bánh_mì kẹp tặng ngán không_hấp_dẫn lắm hời lẻ rán lắc lẻ tươi,2
1,chú_ý toàn_ức không_nổi,0
1,chán ngon buger lát bằm mỏng dính cà_chua,2
1,miếng không_nổi điều_chỉnh hoài,0
1,xuyên kiểm_trà đồ kiểm_trà yên_tâm đi chiên,0
1,thức_ăn nhẵn_mặt mê rán rán giòn mềm thơm_chấm rẻ hú_hồn địa_gà đại_hội rán không_bị xót thích uống xí,2
1,không,0
1,không_cho gói gói vưaf,0
1,chú_ý gói,0
1,rõ_ràng phát_hiện bánh_mì kẹp tệ đi cẩn_thận không_thể_nào cầm,1
1,kẹp hơi khô sốt đậm vifon không_giăm thử uống nhẽo nhân_tạo kẹo chiên ngon_giòn rụm,2
1,ngon_tươi giòn nóng_đùi chất_lượng chiên sẵn nóng bở ăn_ở,2
1,sáng_sủa rộng rải trẻ hơi rít kỹ rộng sạch đẹp phục_vụ hơi nguyên_tắc không_dễ_tính thành rán giòn thơm ngon kẹp rán không_ngon ăn_ngán xuất_sắc chấm rộng,2
1,mưa tầm_tã đặt_hàng tư_vấn đói đặt_hàng khuyến_mãi chờ tải phát_hiện muôn_vàn khuyến_mãi thích uống nước_ngọt thích cười ngon nóng_hổi không_lắm thích sốt chấm tương_tỏi kẹp bảo bình_thường trẻ hơi ồn,2
1,nằm phủ hơi phủ đẹp cười_cười_cười thoải_mái thoáng mát mát_mẻ cười nhà_vệ thơm_tho hiện_đại bình_thường tải chứng_từ cười kêu cười cười chúc_mừng thích ngon đồn ngon không_tả nổi cười tốt ghé cười khảo folow,2
1,thèm đi ăn_buger phô rộng_rãi nhanh_chóng buger phô thích,2
1,đặt_hàng không_chấp_nhận không_tương_ớt tương_cà đặt_hàng nugets miễn_phí chả mcdonals nghèo nổi không_cho,0
1,ăn_không tiếp không,1
1,đặt_hàng mừng phô tặng rẻ phô chiên,2
1,mac tởm_lợm cháy muối tởm_lợm bất_lương đi vô,0
1,mãi ghé vô uống hầu_như đi thoải_mái đông máy_lạnh trọng_phòng lau_dọn thường_xuyên hơi ồn đi đặt_hàng chờ thích,2
1,chua_chánh mong bớt chụp,2
1,nằm vòng sỡ_hữu ngoài_trời chiều_tối khô đông mát đỗ đặt_hàng đặt_hàng sạch_sẽ lau_dọn rưới sốt uống,2
1,kẹo đào ngon hơi,2
1,chiên đen_đen chiên tiếc cắn thử mốc sợ,0
1,nhiệt_tình lắm thèm ghé nugests ngon_vỏ nóng_thịt mềm không_bị khô_chấm mayone phô ngon lắm ghé thèm liền ngon ngán yêu,2
1,chấm sốt mayonaise béo vừa_phải nhanh_chóng lẹ tươi_tắn thích chạy,2
1,cố_tình tương_ớt không_giờ cà dùm tương_ớt bảo đổi tương_cà khó_chịu hằn_học đề_nghị kỹ sống bịch cà_bịch cắt_xén,0
1,đi đặt_hàng đặt_hàng nugest chiên nóng_hổi mềm không_bị khô chín màu_sắc tươi thơm_ngào ngạt ghiền thích ngán sốt buồn giá_cả hơi mắc thích lắm không_nỡ đi nổi_tiếng đành cười_cười,2
